cycle,branch,forecastdate,district,component_no,component_name,component_impact,component_narrative,genre,candidateA,candidateB,shortnmA,shortnmB,timestamp
2020,House,11/3/20,OK-5,7,Challenger experience,-.5321423,"Bice has held elected office before. (So has Horn, but this is accounted for in our incumbency calculation.)",DR,Kendra Horn,Stephanie Bice,Horn,Bice,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-5,6,Incumbent's voting record in Congress,-.234016,"Horn has voted with Democrats 88% of the time in roll-call votes in recent sessions of Congress. Candidates who vote with their party very frequently tend to underperform at the ballot booth, other factors held equal.",DR,Kendra Horn,Stephanie Bice,Horn,Bice,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-5,5,Fundraising,.5257795,"As of Oct. 14, Horn had raised $4,141,000 in individual contributions (62% of all such contributions to the major-party candidates); Bice had raised $2,581,000 (38%).",DR,Kendra Horn,Stephanie Bice,Horn,Bice,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-5,4,Generic ballot,.6872956,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Kendra Horn,Stephanie Bice,Horn,Bice,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-5,3,Incumbent's margin in last election,-.0799184,"Horn won by 1.4 percentage points in 2018, defeating an incumbent.",DR,Kendra Horn,Stephanie Bice,Horn,Bice,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-5,2,District partisanship,-.7373834,"OK-5 is 13.2 percentage points more Republican-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Trump in 2016 and Romney in 2012. Oklahoma has been considerably more Democratic in state legislative elections than in presidential elections.",DR,Kendra Horn,Stephanie Bice,Horn,Bice,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-5,11,Total,1.541161,"",DR,Kendra Horn,Stephanie Bice,Horn,Bice,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-5,1,Incumbency,1.911546,"Horn has been elected to 1 term. Congress has only a 21.1% approval rating, reducing the incumbency advantage. The incumbency advantage is larger in states and districts with distinctive demographic patterns. OK-5 has nationally representative demographics, so incumbency won't help Horn as much there.",DR,Kendra Horn,Stephanie Bice,Horn,Bice,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-4,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Mary Brannon,Tom Cole,Brannon,Cole,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-4,7,Challenger experience,0,Brannon has never held elected office.,DR,Mary Brannon,Tom Cole,Brannon,Cole,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-4,6,Incumbent's voting record in Congress,-.2991085,Cole has voted with Republicans 76% of the time in roll-call votes in recent sessions of Congress.,DR,Mary Brannon,Tom Cole,Brannon,Cole,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-4,5,Fundraising,-16.72379,"As of Oct. 14, Cole had raised $754,000 in individual contributions (100% of all such contributions to the major-party candidates); Brannon had raised $0 (0%).",DR,Mary Brannon,Tom Cole,Brannon,Cole,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-4,4,Generic ballot,2.981226,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Mary Brannon,Tom Cole,Brannon,Cole,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-4,3,Incumbent's margin in last election,-6.850276,Cole won by 30.1 percentage points in 2018.,DR,Mary Brannon,Tom Cole,Brannon,Cole,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-4,2,District partisanship,-8.678032,"OK-4 is 34.4 percentage points more Republican-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Trump in 2016 and Romney in 2012. Oklahoma has been considerably more Democratic in state legislative elections than in presidential elections.",DR,Mary Brannon,Tom Cole,Brannon,Cole,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-4,11,Total,-38.12635,"",DR,Mary Brannon,Tom Cole,Brannon,Cole,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-4,1,Incumbency,-8.556382,"Cole has been elected to 9 terms. Congress has only a 21.1% approval rating, reducing the incumbency advantage. The incumbency advantage is larger in states and districts with distinctive demographic patterns. OK-4 has somewhat distinctive demographics, so the incumbency advantage will be about average there.",DR,Mary Brannon,Tom Cole,Brannon,Cole,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-3,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Zoe Ann Midyett,Frank Lucas,Midyett,Lucas,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-3,7,Challenger experience,0,Midyett has never held elected office.,DR,Zoe Ann Midyett,Frank Lucas,Midyett,Lucas,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-3,6,Incumbent's voting record in Congress,-.0662727,Lucas has voted with Republicans 78% of the time in roll-call votes in recent sessions of Congress.,DR,Zoe Ann Midyett,Frank Lucas,Midyett,Lucas,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-3,5,Fundraising,-18.8974,"As of Oct. 14, Lucas had raised $115,000 in individual contributions (100% of all such contributions to the major-party candidates); Midyett had raised $0 (0%).",DR,Zoe Ann Midyett,Frank Lucas,Midyett,Lucas,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-3,4,Generic ballot,3.368261,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Zoe Ann Midyett,Frank Lucas,Midyett,Lucas,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-3,3,Incumbent's margin in last election,-12.10623,Lucas won by 47.7 percentage points in 2018.,DR,Zoe Ann Midyett,Frank Lucas,Midyett,Lucas,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-3,2,District partisanship,-14.70447,"OK-3 is 49.2 percentage points more Republican-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Trump in 2016 and Romney in 2012. Oklahoma has been considerably more Democratic in state legislative elections than in presidential elections.",DR,Zoe Ann Midyett,Frank Lucas,Midyett,Lucas,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-3,11,Total,-52.59701,"",DR,Zoe Ann Midyett,Frank Lucas,Midyett,Lucas,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-3,1,Incumbency,-10.1909,"Lucas has been elected to 14 terms. Congress has only a 21.1% approval rating, reducing the incumbency advantage. The incumbency advantage is larger in states and districts with distinctive demographic patterns. OK-3 has highly distinctive demographics, so incumbency will help Lucas a lot there.",DR,Zoe Ann Midyett,Frank Lucas,Midyett,Lucas,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-2,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Danyell Lanier,Markwayne Mullin,Lanier,Mullin,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-2,7,Challenger experience,0,Lanier has never held elected office.,DR,Danyell Lanier,Markwayne Mullin,Lanier,Mullin,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-2,6,Incumbent's voting record in Congress,.3284216,Mullin has voted with Republicans 82% of the time in roll-call votes in recent sessions of Congress.,DR,Danyell Lanier,Markwayne Mullin,Lanier,Mullin,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-2,5,Fundraising,-16.51738,"As of Oct. 14, Mullin had raised $350,000 in individual contributions (93% of all such contributions to the major-party candidates); Lanier had raised $27,000 (7%).",DR,Danyell Lanier,Markwayne Mullin,Lanier,Mullin,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-2,4,Generic ballot,3.099112,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Danyell Lanier,Markwayne Mullin,Lanier,Mullin,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-2,3,Incumbent's margin in last election,-8.142319,Mullin won by 34.9 percentage points in 2018.,DR,Danyell Lanier,Markwayne Mullin,Lanier,Mullin,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-2,2,District partisanship,-11.67189,"OK-2 is 43.4 percentage points more Republican-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Trump in 2016 and Romney in 2012. Oklahoma has been considerably more Democratic in state legislative elections than in presidential elections.",DR,Danyell Lanier,Markwayne Mullin,Lanier,Mullin,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-2,11,Total,-42.47191,"",DR,Danyell Lanier,Markwayne Mullin,Lanier,Mullin,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-2,1,Incumbency,-9.567848,"Mullin has been elected to 4 terms. Congress has only a 21.1% approval rating, reducing the incumbency advantage. The incumbency advantage is larger in states and districts with distinctive demographic patterns. OK-2 has highly distinctive demographics, so incumbency will help Mullin a lot there.",DR,Danyell Lanier,Markwayne Mullin,Lanier,Mullin,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-1,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Kojo Asamoa-Caesar,Kevin Hern,Asamoa-Caesar,Hern,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-1,7,Challenger experience,0,Asamoa-Caesar has never held elected office.,DR,Kojo Asamoa-Caesar,Kevin Hern,Asamoa-Caesar,Hern,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-1,6,Incumbent's voting record in Congress,-.0996637,Hern has voted with Republicans 78% of the time in roll-call votes in recent sessions of Congress.,DR,Kojo Asamoa-Caesar,Kevin Hern,Asamoa-Caesar,Hern,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-1,5,Fundraising,-13.36707,"As of Oct. 14, Hern had raised $743,000 in individual contributions (85% of all such contributions to the major-party candidates); Asamoa-Caesar had raised $126,000 (15%).",DR,Kojo Asamoa-Caesar,Kevin Hern,Asamoa-Caesar,Hern,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-1,4,Generic ballot,2.653988,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Kojo Asamoa-Caesar,Kevin Hern,Asamoa-Caesar,Hern,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-1,3,Incumbent's margin in last election,-4.739175,Hern won by 18.6 percentage points in 2018 in an open-seat race.,DR,Kojo Asamoa-Caesar,Kevin Hern,Asamoa-Caesar,Hern,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-1,2,District partisanship,-6.1353,"OK-1 is 27.8 percentage points more Republican-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Trump in 2016 and Romney in 2012. Oklahoma has been considerably more Democratic in state legislative elections than in presidential elections.",DR,Kojo Asamoa-Caesar,Kevin Hern,Asamoa-Caesar,Hern,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-1,11,Total,-29.20028,"",DR,Kojo Asamoa-Caesar,Kevin Hern,Asamoa-Caesar,Hern,00:19:54  3 Nov 2020
2020,House,11/3/20,OK-1,1,Incumbency,-7.51307,"Hern has been elected to 1 term. Congress has only a 21.1% approval rating, reducing the incumbency advantage. The incumbency advantage is larger in states and districts with distinctive demographic patterns. OK-1 has somewhat distinctive demographics, so the incumbency advantage will be about average there.",DR,Kojo Asamoa-Caesar,Kevin Hern,Asamoa-Caesar,Hern,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-9,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Marcy Kaptur,Rob Weber,Kaptur,Weber,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-9,7,Challenger experience,0,Weber has never held elected office.,DR,Marcy Kaptur,Rob Weber,Kaptur,Weber,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-9,6,Incumbent's voting record in Congress,-2.090227,"Kaptur has voted with Democrats 93% of the time in roll-call votes in recent sessions of Congress. Candidates who vote with their party very frequently tend to underperform at the ballot booth, other factors held equal.",DR,Marcy Kaptur,Rob Weber,Kaptur,Weber,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-9,5,Fundraising,6.812388,"As of Oct. 14, Kaptur had raised $273,000 in individual contributions (85% of all such contributions to the major-party candidates); Weber had raised $49,000 (15%).",DR,Marcy Kaptur,Rob Weber,Kaptur,Weber,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-9,4,Generic ballot,4.050296,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Marcy Kaptur,Rob Weber,Kaptur,Weber,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-9,3,Incumbent's margin in last election,6.31601,Kaptur won by 35.6 percentage points in 2018.,DR,Marcy Kaptur,Rob Weber,Kaptur,Weber,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-9,2,District partisanship,8.414762,"OH-9 is 25.1 percentage points more Democratic-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Clinton in 2016 and Obama in 2012.",DR,Marcy Kaptur,Rob Weber,Kaptur,Weber,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-9,11,Total,34.6883,"",DR,Marcy Kaptur,Rob Weber,Kaptur,Weber,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-9,1,Incumbency,11.18508,"Kaptur has been elected to 19 terms. Congress has only a 21.1% approval rating, reducing the incumbency advantage. The incumbency advantage is larger in states and districts with distinctive demographic patterns. OH-9 has nationally representative demographics, so incumbency won't help Kaptur as much there.",DR,Marcy Kaptur,Rob Weber,Kaptur,Weber,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-8,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Vanessa Enoch,Warren Davidson,Enoch,Davidson,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-8,7,Challenger experience,0,Enoch has never held elected office.,DR,Vanessa Enoch,Warren Davidson,Enoch,Davidson,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-8,6,Incumbent's voting record in Congress,.5102136,Davidson has voted with Republicans 83% of the time in roll-call votes in recent sessions of Congress.,DR,Vanessa Enoch,Warren Davidson,Enoch,Davidson,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-8,5,Fundraising,-15.5968,"As of Oct. 14, Davidson had raised $392,000 in individual contributions (91% of all such contributions to the major-party candidates); Enoch had raised $39,000 (9%).",DR,Vanessa Enoch,Warren Davidson,Enoch,Davidson,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-8,4,Generic ballot,2.96859,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Vanessa Enoch,Warren Davidson,Enoch,Davidson,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-8,3,Incumbent's margin in last election,-7.437777,Davidson won by 33.2 percentage points in 2018.,DR,Vanessa Enoch,Warren Davidson,Enoch,Davidson,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-8,2,District partisanship,-8.395849,"OH-8 is 33.5 percentage points more Republican-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Trump in 2016 and Romney in 2012.",DR,Vanessa Enoch,Warren Davidson,Enoch,Davidson,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-8,11,Total,-36.16402,"",DR,Vanessa Enoch,Warren Davidson,Enoch,Davidson,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-8,1,Incumbency,-8.212403,"Davidson has been elected to 3 terms. Congress has only a 21.1% approval rating, reducing the incumbency advantage. The incumbency advantage is larger in states and districts with distinctive demographic patterns. OH-8 has nationally representative demographics, so incumbency won't help Davidson as much there.",DR,Vanessa Enoch,Warren Davidson,Enoch,Davidson,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-7,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Quentin Potter,Bob Gibbs,Potter,Gibbs,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-7,7,Challenger experience,0,Potter has never held elected office.,DR,Quentin Potter,Bob Gibbs,Potter,Gibbs,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-7,6,Incumbent's voting record in Congress,.1635369,Gibbs has voted with Republicans 80% of the time in roll-call votes in recent sessions of Congress.,DR,Quentin Potter,Bob Gibbs,Potter,Gibbs,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-7,5,Fundraising,-14.11477,"As of Oct. 14, Gibbs had raised $199,000 in individual contributions (96% of all such contributions to the major-party candidates); Potter had raised $8,000 (4%).",DR,Quentin Potter,Bob Gibbs,Potter,Gibbs,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-7,4,Generic ballot,2.58436,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Quentin Potter,Bob Gibbs,Potter,Gibbs,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-7,3,Incumbent's margin in last election,-3.888446,Gibbs won by 17.5 percentage points in 2018.,DR,Quentin Potter,Bob Gibbs,Potter,Gibbs,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-7,2,District partisanship,-5.338732,"OH-7 is 24.9 percentage points more Republican-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Trump in 2016 and Romney in 2012.",DR,Quentin Potter,Bob Gibbs,Potter,Gibbs,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-7,11,Total,-27.77887,"",DR,Quentin Potter,Bob Gibbs,Potter,Gibbs,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-7,1,Incumbency,-7.184816,"Gibbs has been elected to 5 terms. Congress has only a 21.1% approval rating, reducing the incumbency advantage. The incumbency advantage is larger in states and districts with distinctive demographic patterns. OH-7 has nationally representative demographics, so incumbency won't help Gibbs as much there.",DR,Quentin Potter,Bob Gibbs,Potter,Gibbs,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-6,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Shawna Roberts,Bill Johnson,Roberts,Johnson,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-6,7,Challenger experience,0,Roberts has never held elected office.,DR,Shawna Roberts,Bill Johnson,Roberts,Johnson,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-6,6,Incumbent's voting record in Congress,-.1464563,Johnson has voted with Republicans 77% of the time in roll-call votes in recent sessions of Congress.,DR,Shawna Roberts,Bill Johnson,Roberts,Johnson,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-6,5,Fundraising,-17.67229,"As of Oct. 14, Johnson had raised $669,000 in individual contributions (100% of all such contributions to the major-party candidates); Roberts had raised $0 (0%).",DR,Shawna Roberts,Bill Johnson,Roberts,Johnson,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-6,4,Generic ballot,3.150764,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Shawna Roberts,Bill Johnson,Roberts,Johnson,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-6,3,Incumbent's margin in last election,-9.078141,Johnson won by 38.5 percentage points in 2018.,DR,Shawna Roberts,Bill Johnson,Roberts,Johnson,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-6,2,District partisanship,-9.221822,"OH-6 is 34.6 percentage points more Republican-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Trump in 2016 and Romney in 2012.",DR,Shawna Roberts,Bill Johnson,Roberts,Johnson,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-6,11,Total,-42.14309,"",DR,Shawna Roberts,Bill Johnson,Roberts,Johnson,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-6,1,Incumbency,-9.175142,"Johnson has been elected to 5 terms. Congress has only a 21.1% approval rating, reducing the incumbency advantage. The incumbency advantage is larger in states and districts with distinctive demographic patterns. OH-6 has somewhat distinctive demographics, so the incumbency advantage will be about average there.",DR,Shawna Roberts,Bill Johnson,Roberts,Johnson,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-5,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Nick Rubando,Robert E. Latta,Rubando,Latta,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-5,7,Challenger experience,0,Rubando has never held elected office.,DR,Nick Rubando,Robert E. Latta,Rubando,Latta,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-5,6,Incumbent's voting record in Congress,.1605119,Latta has voted with Republicans 80% of the time in roll-call votes in recent sessions of Congress.,DR,Nick Rubando,Robert E. Latta,Rubando,Latta,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-5,5,Fundraising,-11.08848,"As of Oct. 14, Latta had raised $572,000 in individual contributions (71% of all such contributions to the major-party candidates); Rubando had raised $235,000 (29%).",DR,Nick Rubando,Robert E. Latta,Rubando,Latta,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-5,4,Generic ballot,2.485217,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Nick Rubando,Robert E. Latta,Rubando,Latta,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-5,3,Incumbent's margin in last election,-5.232171,Latta won by 27.1 percentage points in 2018.,DR,Nick Rubando,Robert E. Latta,Rubando,Latta,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-5,2,District partisanship,-4.497791,"OH-5 is 22.0 percentage points more Republican-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Trump in 2016 and Romney in 2012.",DR,Nick Rubando,Robert E. Latta,Rubando,Latta,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-5,11,Total,-25.04541,"",DR,Nick Rubando,Robert E. Latta,Rubando,Latta,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-5,1,Incumbency,-6.87269,"Latta has been elected to 7 terms. Congress has only a 21.1% approval rating, reducing the incumbency advantage. The incumbency advantage is larger in states and districts with distinctive demographic patterns. OH-5 has nationally representative demographics, so incumbency won't help Latta as much there.",DR,Nick Rubando,Robert E. Latta,Rubando,Latta,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-4,8,Scandals,1.338591,"Jordan was involved in a scandal. But it developed in 2018, before the current election cycle, so our model discounts its importance.",DR,Shannon Freshour,Jim Jordan,Freshour,Jordan,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-4,7,Challenger experience,0,Freshour has never held elected office.,DR,Shannon Freshour,Jim Jordan,Freshour,Jordan,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-4,6,Incumbent's voting record in Congress,.4457804,Jordan has voted with Republicans 83% of the time in roll-call votes in recent sessions of Congress.,DR,Shannon Freshour,Jim Jordan,Freshour,Jordan,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-4,5,Fundraising,-14.21098,"As of Oct. 14, Jordan had raised $15,836,000 in individual contributions (92% of all such contributions to the major-party candidates); Freshour had raised $1,284,000 (8%).",DR,Shannon Freshour,Jim Jordan,Freshour,Jordan,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-4,4,Generic ballot,2.673997,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Shannon Freshour,Jim Jordan,Freshour,Jordan,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-4,3,Incumbent's margin in last election,-6.227005,Jordan won by 30.5 percentage points in 2018.,DR,Shannon Freshour,Jim Jordan,Freshour,Jordan,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-4,2,District partisanship,-6.489005,"OH-4 is 29.1 percentage points more Republican-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Trump in 2016 and Romney in 2012.",DR,Shannon Freshour,Jim Jordan,Freshour,Jordan,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-4,11,Total,-29.98923,"",DR,Shannon Freshour,Jim Jordan,Freshour,Jordan,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-4,1,Incumbency,-7.5206,"Jordan has been elected to 7 terms. Congress has only a 21.1% approval rating, reducing the incumbency advantage. The incumbency advantage is larger in states and districts with distinctive demographic patterns. OH-4 has somewhat distinctive demographics, so the incumbency advantage will be about average there.",DR,Shannon Freshour,Jim Jordan,Freshour,Jordan,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-3,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Joyce Beatty,Mark F. Richardson,Beatty,Richardson,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-3,7,Challenger experience,0,Richardson has never held elected office.,DR,Joyce Beatty,Mark F. Richardson,Beatty,Richardson,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-3,6,Incumbent's voting record in Congress,-2.232744,"Beatty has voted with Democrats 94% of the time in roll-call votes in recent sessions of Congress. Candidates who vote with their party very frequently tend to underperform at the ballot booth, other factors held equal.",DR,Joyce Beatty,Mark F. Richardson,Beatty,Richardson,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-3,5,Fundraising,9.378089,"As of Oct. 14, Beatty had raised $681,000 in individual contributions (100% of all such contributions to the major-party candidates); Richardson had raised $0 (0%).",DR,Joyce Beatty,Mark F. Richardson,Beatty,Richardson,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-3,4,Generic ballot,4.113982,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Joyce Beatty,Mark F. Richardson,Beatty,Richardson,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-3,3,Incumbent's margin in last election,9.447558,Beatty won by 47.2 percentage points in 2018.,DR,Joyce Beatty,Mark F. Richardson,Beatty,Richardson,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-3,2,District partisanship,13.01978,"OH-3 is 37.2 percentage points more Democratic-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Clinton in 2016 and Obama in 2012.",DR,Joyce Beatty,Mark F. Richardson,Beatty,Richardson,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-3,11,Total,45.40616,"",DR,Joyce Beatty,Mark F. Richardson,Beatty,Richardson,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-3,1,Incumbency,11.67949,"Beatty has been elected to 4 terms. Congress has only a 21.1% approval rating, reducing the incumbency advantage. The incumbency advantage is larger in states and districts with distinctive demographic patterns. OH-3 has somewhat distinctive demographics, so the incumbency advantage will be about average there.",DR,Joyce Beatty,Mark F. Richardson,Beatty,Richardson,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-2,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Jaime Castle,Brad Wenstrup,Castle,Wenstrup,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-2,7,Challenger experience,0,Castle has never held elected office.,DR,Jaime Castle,Brad Wenstrup,Castle,Wenstrup,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-2,6,Incumbent's voting record in Congress,.1373662,Wenstrup has voted with Republicans 80% of the time in roll-call votes in recent sessions of Congress.,DR,Jaime Castle,Brad Wenstrup,Castle,Wenstrup,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-2,5,Fundraising,-9.763445,"As of Oct. 14, Wenstrup had raised $733,000 in individual contributions (74% of all such contributions to the major-party candidates); Castle had raised $257,000 (26%).",DR,Jaime Castle,Brad Wenstrup,Castle,Wenstrup,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-2,4,Generic ballot,2.128529,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Jaime Castle,Brad Wenstrup,Castle,Wenstrup,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-2,3,Incumbent's margin in last election,-3.057658,Wenstrup won by 16.4 percentage points in 2018.,DR,Jaime Castle,Brad Wenstrup,Castle,Wenstrup,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-2,2,District partisanship,-2.84412,"OH-2 is 16.3 percentage points more Republican-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Trump in 2016 and Romney in 2012.",DR,Jaime Castle,Brad Wenstrup,Castle,Wenstrup,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-2,11,Total,-19.17684,"",DR,Jaime Castle,Brad Wenstrup,Castle,Wenstrup,00:19:54  3 Nov 2020
2020,House,11/3/20,OH-2,1,Incumbency,-5.777512,"Wenstrup has been elected to 4 terms. Congress has only a 21.1% approval rating, reducing the incumbency advantage. The incumbency advantage is larger in states and districts with distinctive demographic patterns. OH-2 has nationally representative demographics, so incumbency won't help Wenstrup as much there.",DR,Jaime Castle,Brad Wenstrup,Castle,Wenstrup,00:19:54  3 Nov 2020
